A,B,_PROJECT,_PROJ_USE,_PROJ_TOLLCLASS
9050,9056,fixSR237in2015,2,0
9056,20201,fixSR237in2015,2,0
20201,9060,fixSR237in2015,2,0
9060,20203,fixSR237in2015,2,0
20203,10139,fixSR237in2015,2,0
10139,10140,fixSR237in2015,2,0
10140,20204,fixSR237in2015,2,0
10199,10141,fixSR237in2015,2,0
10141,10142,fixSR237in2015,2,0
10142,10143,fixSR237in2015,2,0
10143,20202,fixSR237in2015,2,0
20202,9059,fixSR237in2015,2,0
9059,20200,fixSR237in2015,2,0
20200,9051,fixSR237in2015,2,0
9046,20196,fixSR237in2015,4,31
20197,9049,fixSR237in2015,4,32
